expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado,tipo_proceso_enc,municipio_enc,despacho_enc,duracion_estimada,p75_duracion,riesgo
EXP-01949,CALI,SUSTANCIAS,Juzgado_1_Familia,2024,70.34,1.35,10,0,587,1,2,8,2,518,333.0,Alto
EXP-06238,CALI,SUSTANCIAS,Juzgado_1_Familia,2024,70.34,1.35,10,0,557,1,2,8,2,518,333.0,Alto
EXP-04484,CALI,SUSTANCIAS,Juzgado_1_Familia,2021,70.34,1.35,9,0,532,1,2,8,2,516,333.0,Alto
EXP-08061,CALI,SUSTANCIAS,Juzgado_1_Familia,2021,70.34,1.35,8,0,542,1,2,8,2,513,333.0,Alto
EXP-08249,CALI,VIF,Juzgado_1_Familia,2020,70.34,1.35,10,0,502,1,3,8,2,511,327.75,Alto
EXP-11659,CALI,SUSTANCIAS,Juzgado_1_Familia,2022,70.34,1.35,17,0,626,1,2,8,2,511,333.0,Alto
EXP-07831,CALI,VIF,Juzgado_1_Familia,2023,70.34,1.35,11,0,522,1,3,8,2,510,327.75,Alto
EXP-07178,CALI,VIF,Juzgado_1_Familia,2023,70.34,1.35,10,0,527,1,3,8,2,505,327.75,Alto
EXP-10577,CALI,VIF,Juzgado_1_Familia,2023,70.34,1.35,10,0,539,1,3,8,2,505,327.75,Alto
EXP-00380,CALI,VIF,Juzgado_1_Familia,2021,70.34,1.35,13,0,563,1,3,8,2,503,327.75,Alto
EXP-02038,CALI,VIF,Juzgado_1_Familia,2023,70.34,1.35,12,0,554,1,3,8,2,502,327.75,Alto
EXP-08486,CALI,VIF,Juzgado_1_Familia,2023,70.34,1.35,17,0,613,1,3,8,2,501,327.75,Alto
EXP-04303,CALI,VIF,Juzgado_1_Familia,2022,70.34,1.35,10,0,557,1,3,8,2,496,327.75,Alto
EXP-11674,CALI,VIF,Juzgado_1_Familia,2022,70.34,1.35,10,0,516,1,3,8,2,496,327.75,Alto
EXP-00313,CALI,VIF,Juzgado_1_Familia,2021,70.34,1.35,8,0,526,1,3,8,2,495,327.75,Alto
EXP-01882,CALI,VIF,Juzgado_1_Familia,2021,70.34,1.35,8,0,541,1,3,8,2,495,327.75,Alto
EXP-05690,CALI,VIF,Juzgado_1_Familia,2024,70.34,1.35,9,0,531,1,3,8,2,492,327.75,Alto
EXP-08381,CALI,VIF,Juzgado_1_Familia,2024,70.34,1.35,9,0,526,1,3,8,2,492,327.75,Alto
EXP-06560,CALI,SUSTANCIAS,Juzgado_2_Familia,2020,70.34,1.2,9,0,504,1,2,8,3,487,319.0,Alto
EXP-03497,CALI,VIF,Juzgado_Penal_Municipal_1,2024,70.34,1.25,20,0,627,1,3,8,5,486,300.0,Alto
EXP-09889,CALI,VIF,Juzgado_2_Familia,2021,70.34,1.2,11,0,467,1,3,8,3,486,309.0,Alto
EXP-09766,CALI,VIF,Juzgado_Penal_Municipal_1,2021,70.34,1.25,11,0,368,0,3,8,5,485,300.0,Alto
EXP-00160,CALI,VIF,Juzgado_Penal_Municipal_1,2023,70.34,1.25,16,0,578,1,3,8,5,483,300.0,Alto
EXP-04262,CALI,SUSTANCIAS,Juzgado_2_Familia,2023,70.34,1.2,10,0,511,1,2,8,3,483,319.0,Alto
EXP-10166,CALI,VIF,Juzgado_2_Familia,2021,70.34,1.2,12,0,508,1,3,8,3,481,309.0,Alto
EXP-00246,CALI,VIF,Juzgado_Penal_Municipal_1,2024,70.34,1.25,11,0,511,1,3,8,5,480,300.0,Alto
