expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado
EXP-00001,YUMBO,SUSTANCIAS,Juzgado_3_Familia,2024,3.5,0.95,3,0,219,1
EXP-00002,GUACARI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2020,1.48,1.25,2,0,373,1
EXP-00003,JAMUNDI,VIF,Juzgado_1_Familia,2023,2.64,1.35,3,0,269,1
EXP-00004,TORO,VIF,Comisaria_2_Familia,2023,0.1333333333333333,0.9,3,0,182,1
EXP-00005,TULUA,ALIMENTOS,Juzgado_2_Familia,2023,3.34,1.2,4,1,443,1
EXP-00006,ROLDANILLO,ALIMENTOS,Juzgado_Penal_Municipal_1,2021,1.26,1.25,4,0,346,1
EXP-00007,CALI,ALIMENTOS,Comisaria_2_Familia,2022,70.34,0.9,5,0,462,1
EXP-00008,CALI,ALIMENTOS,Juzgado_1_Familia,2024,70.34,1.35,6,0,562,1
EXP-00009,CAICEDONIA,SUSTANCIAS,Juzgado_1_Familia,2023,1.28,1.35,3,0,279,1
EXP-00010,GUACARI,ALIMENTOS,Juzgado_3_Familia,2023,1.48,0.95,1,0,255,1
EXP-00011,CALI,VIF,Juzgado_3_Familia,2020,70.34,0.95,19,0,353,0
EXP-00012,SIN_DATO,ALIMENTOS,Comisaria_2_Familia,2020,2.2,0.9,6,0,167,0
EXP-00013,PALMIRA,VIF,Juzgado_Penal_Municipal_1,2023,11.54,1.25,3,0,265,1
EXP-00014,CAICEDONIA,ALIMENTOS,Comisaria_2_Familia,2024,1.28,0.9,4,1,363,1
EXP-00015,GUADALAJARA DE BUGA,ALIMENTOS,Juzgado_1_Familia,2022,6.6,1.35,4,0,233,0
EXP-00016,JAMUNDI,ALIMENTOS,Comisaria_2_Familia,2022,2.64,0.9,2,1,364,1
EXP-00017,ROLDANILLO,HURTO_PATRIMONIAL,Juzgado_3_Familia,2021,1.26,0.95,10,0,246,0
EXP-00018,CARTAGO,ALIMENTOS,Comisaria_2_Familia,2024,5.56,0.9,1,0,242,1
EXP-00019,TULUA,SUSTANCIAS,Juzgado_1_Familia,2023,3.34,1.35,3,0,312,1
