municipio,anio,vif_total,inasistencia_total,medidas_proteccion_total,alimentos_familia_total,ivf_score_bruto,ivf_score_ponderado,poblacion,ivf_tasa_100k
ALCALA,2020,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,17200.0,10.47
ALCALA,2021,1.0,0.0,0.0,1.0,0.7,0.1,17200.0,4.07
ALCALA,2022,1.0,0.0,0.0,1.0,0.7,0.1,17200.0,4.07
ALCALA,2023,5.0,0.0,0.0,4.0,3.2,0.5,17200.0,18.6
ALCALA,2024,1.0,0.0,0.0,1.0,0.7,0.1,17200.0,4.07
ANDALUCIA,2020,1.0,0.0,0.0,1.0,0.7,0.1,19800.0,3.54
ANDALUCIA,2021,5.0,0.0,0.0,4.0,3.2,0.5,19800.0,16.16
ANDALUCIA,2022,8.0,0.0,0.0,6.0,5.0,0.8,19800.0,25.25
ANDALUCIA,2023,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,19800.0,9.09
ANDALUCIA,2024,2.0,0.0,0.0,2.0,1.4,0.2,19800.0,7.07
ANSERMANUEVO,2021,1.0,0.0,0.0,1.0,0.7,0.1,16300.0,4.29
ANSERMANUEVO,2022,1.0,0.0,0.0,1.0,0.7,0.1,16300.0,4.29
ANSERMANUEVO,2023,2.0,0.0,0.0,2.0,1.4,0.2,16300.0,8.59
ANSERMANUEVO,2024,4.0,0.0,0.0,3.0,2.5,0.4,16300.0,15.34
ARGELIA,2020,1.0,0.0,0.0,1.0,0.7,0.1,10400.0,6.73
ARGELIA,2021,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,10400.0,17.31
BOLIVAR,2020,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,22100.0,8.14
BOLIVAR,2021,1.0,0.0,0.0,1.0,0.7,0.1,22100.0,3.17
BOLIVAR,2022,2.0,0.0,0.0,2.0,1.4,0.2,22100.0,6.33
BOLIVAR,2023,4.0,0.0,0.0,3.0,2.5,0.4,22100.0,11.31
BOLIVAR,2024,4.0,0.0,0.0,3.0,2.5,0.4,22100.0,11.31
BOLIVAR,9999,0.0,1.0,0.0,0.0,0.1,0.0,22100.0,0.45
BUENAVENTURA,2020,15.0,0.0,0.0,11.0,9.3,1.6,436665.0,2.13
BUENAVENTURA,2021,32.0,0.0,0.0,24.0,20.0,3.5,436665.0,4.58
BUENAVENTURA,2022,36.0,0.0,0.0,27.0,22.5,3.9,436665.0,5.15
BUENAVENTURA,2023,48.0,0.0,0.0,36.0,30.0,5.2,436665.0,6.87
BUENAVENTURA,2024,23.0,0.0,0.0,17.0,14.3,2.5,436665.0,3.27
BUGALAGRANDE,2020,2.0,0.0,0.0,2.0,1.4,0.2,22000.0,6.36
BUGALAGRANDE,2021,1.0,0.0,0.0,1.0,0.7,0.1,22000.0,3.18
BUGALAGRANDE,2022,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,22000.0,8.18
BUGALAGRANDE,2023,4.0,0.0,0.0,3.0,2.5,0.4,22000.0,11.36
BUGALAGRANDE,2024,4.0,0.0,0.0,3.0,2.5,0.4,22000.0,11.36
CAICEDONIA,2020,16.0,0.0,0.0,12.0,10.0,1.7,28900.0,34.6
CAICEDONIA,2021,11.0,0.0,0.0,8.0,6.800000000000001,1.2,28900.0,23.53
CAICEDONIA,2022,12.0,0.0,0.0,9.0,7.5,1.3,28900.0,25.95
CAICEDONIA,2023,11.0,0.0,0.0,8.0,6.800000000000001,1.2,28900.0,23.53
CAICEDONIA,2024,9.0,0.0,0.0,7.0,5.7,1.0,28900.0,19.72
CALI,2020,468.0,0.0,0.0,351.0,292.5,50.7,2237030.0,13.08
CALI,2021,485.0,0.0,0.0,364.0,303.2,52.6,2237030.0,13.55
CALI,2022,637.0,0.0,0.0,478.0,398.20000000000005,69.0,2237030.0,17.8
CALI,2023,923.0,0.0,0.0,692.0,576.8000000000001,100.0,2237030.0,25.78
CALI,2024,733.0,0.0,0.0,550.0,458.2,79.4,2237030.0,20.48
CALIMA,2020,2.0,0.0,0.0,2.0,1.4,0.2,22100.0,6.33
CALIMA,2021,7.0,0.0,0.0,5.0,4.300000000000001,0.7,22100.0,19.46
CALIMA,2022,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,22100.0,8.14
CALIMA,2023,1.0,0.0,0.0,1.0,0.7,0.1,22100.0,3.17
CALIMA,2024,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,22100.0,8.14
CANDELARIA,2020,17.0,0.0,0.0,13.0,10.700000000000001,1.8,103840.0,10.3
CANDELARIA,2021,22.0,0.0,0.0,16.0,13.600000000000001,2.3,103840.0,13.1
CANDELARIA,2022,40.0,0.0,0.0,30.0,25.0,4.3,103840.0,24.08
CANDELARIA,2023,40.0,0.0,0.0,30.0,25.0,4.3,103840.0,24.08
CANDELARIA,2024,25.0,0.0,0.0,19.0,15.7,2.7,103840.0,15.12
CARTAGO,2020,21.0,0.0,0.0,16.0,13.2,2.3,138001.0,9.57
CARTAGO,2021,47.0,0.0,0.0,35.0,29.3,5.1,138001.0,21.23
CARTAGO,2022,92.0,0.0,0.0,69.0,57.5,10.0,138001.0,41.67
CARTAGO,2023,61.0,0.0,0.0,46.0,38.2,6.6,138001.0,27.68
CARTAGO,2024,35.0,0.0,0.0,26.0,21.8,3.8,138001.0,15.8
DAGUA,2020,12.0,0.0,0.0,9.0,7.5,1.3,35800.0,20.95
DAGUA,2021,10.0,0.0,0.0,8.0,6.4,1.1,35800.0,17.88
DAGUA,2022,16.0,0.0,0.0,12.0,10.0,1.7,35800.0,27.93
DAGUA,2023,24.0,0.0,0.0,18.0,15.0,2.6,35800.0,41.9
DAGUA,2024,14.0,0.0,0.0,10.0,8.600000000000001,1.5,35800.0,24.02
DAGUA,9999,0.0,1.0,0.0,0.0,0.1,0.0,35800.0,0.28
EL AGUILA,2021,1.0,0.0,0.0,1.0,0.7,0.1,9300.0,7.53
EL AGUILA,2022,2.0,0.0,0.0,2.0,1.4,0.2,9300.0,15.05
EL AGUILA,2023,2.0,0.0,0.0,2.0,1.4,0.2,9300.0,15.05
EL CAIRO,2021,1.0,0.0,0.0,1.0,0.7,0.1,8800.0,7.95
EL CERRITO,2020,6.0,0.0,0.0,4.0,3.6000000000000005,0.6,57248.0,6.29
EL CERRITO,2021,9.0,0.0,0.0,7.0,5.7,1.0,57248.0,9.96
EL CERRITO,2022,11.0,0.0,0.0,8.0,6.800000000000001,1.2,57248.0,11.88
EL CERRITO,2023,14.0,0.0,0.0,10.0,8.600000000000001,1.5,57248.0,15.02
EL CERRITO,2024,11.0,0.0,0.0,8.0,6.800000000000001,1.2,57248.0,11.88
EL DOVIO,2021,1.0,0.0,0.0,1.0,0.7,0.1,9100.0,7.69
EL DOVIO,2022,1.0,0.0,0.0,1.0,0.7,0.1,9100.0,7.69
EL DOVIO,2023,2.0,0.0,0.0,2.0,1.4,0.2,9100.0,15.38
EL DOVIO,9999,0.0,1.0,0.0,0.0,0.1,0.0,9100.0,1.1
FLORIDA,2020,4.0,0.0,0.0,3.0,2.5,0.4,63458.0,3.94
FLORIDA,2021,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,63458.0,2.84
FLORIDA,2022,7.0,0.0,0.0,5.0,4.300000000000001,0.7,63458.0,6.78
FLORIDA,2023,10.0,0.0,0.0,8.0,6.4,1.1,63458.0,10.09
FLORIDA,2024,14.0,0.0,0.0,10.0,8.600000000000001,1.5,63458.0,13.55
GINEBRA,2020,2.0,0.0,0.0,2.0,1.4,0.2,20800.0,6.73
GINEBRA,2022,12.0,0.0,0.0,9.0,7.5,1.3,20800.0,36.06
GINEBRA,2023,6.0,0.0,0.0,4.0,3.6000000000000005,0.6,20800.0,17.31
GINEBRA,2024,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,20800.0,8.65
GUACARI,2020,9.0,0.0,0.0,7.0,5.7,1.0,31420.0,18.14
GUACARI,2021,7.0,0.0,0.0,5.0,4.300000000000001,0.7,31420.0,13.69
GUACARI,2022,14.0,0.0,0.0,10.0,8.600000000000001,1.5,31420.0,27.37
GUACARI,2023,20.0,0.0,0.0,15.0,12.5,2.2,31420.0,39.78
GUACARI,2024,18.0,0.0,0.0,14.0,11.4,2.0,31420.0,36.28
GUADALAJARA DE BUGA,2020,38.0,0.0,0.0,28.0,23.6,4.1,122601.0,19.25
GUADALAJARA DE BUGA,2021,50.0,0.0,0.0,38.0,31.4,5.4,122601.0,25.61
GUADALAJARA DE BUGA,2022,87.0,0.0,0.0,65.0,54.300000000000004,9.4,122601.0,44.29
GUADALAJARA DE BUGA,2023,67.0,0.0,0.0,50.0,41.8,7.2,122601.0,34.09
GUADALAJARA DE BUGA,2024,64.0,0.0,0.0,48.0,40.0,6.9,122601.0,32.63
JAMUNDI,2020,17.0,0.0,0.0,13.0,10.700000000000001,1.8,167441.0,6.39
JAMUNDI,2021,28.0,0.0,0.0,21.0,17.5,3.0,167441.0,10.45
JAMUNDI,2022,22.0,0.0,0.0,16.0,13.600000000000001,2.3,167441.0,8.12
JAMUNDI,2023,33.0,0.0,0.0,25.0,20.700000000000003,3.6,167441.0,12.36
JAMUNDI,2024,23.0,0.0,0.0,17.0,14.3,2.5,167441.0,8.54
LA CUMBRE,2020,4.0,0.0,0.0,3.0,2.5,0.4,13100.0,19.08
LA CUMBRE,2021,1.0,0.0,0.0,1.0,0.7,0.1,13100.0,5.34
LA CUMBRE,2022,2.0,0.0,0.0,2.0,1.4,0.2,13100.0,10.69
LA CUMBRE,2023,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,13100.0,13.74
LA CUMBRE,2024,2.0,0.0,0.0,2.0,1.4,0.2,13100.0,10.69
LA UNION,2021,6.0,0.0,0.0,4.0,3.6000000000000005,0.6,36000.0,10.0
LA UNION,2022,4.0,0.0,0.0,3.0,2.5,0.4,36000.0,6.94
LA UNION,2023,9.0,0.0,0.0,7.0,5.7,1.0,36000.0,15.83
LA UNION,2024,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,36000.0,5.0
LA VICTORIA,2020,2.0,0.0,0.0,2.0,1.4,0.2,14000.0,10.0
LA VICTORIA,2023,2.0,0.0,0.0,2.0,1.4,0.2,14000.0,10.0
LA VICTORIA,2024,1.0,0.0,0.0,1.0,0.7,0.1,14000.0,5.0
OBANDO,2020,4.0,0.0,0.0,3.0,2.5,0.4,13700.0,18.25
OBANDO,2021,5.0,0.0,0.0,4.0,3.2,0.5,13700.0,23.36
OBANDO,2022,1.0,0.0,0.0,1.0,0.7,0.1,13700.0,5.11
OBANDO,2023,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,13700.0,13.14
OBANDO,2024,6.0,0.0,0.0,4.0,3.6000000000000005,0.6,13700.0,26.28
PALMIRA,2020,84.0,0.0,0.0,63.0,52.5,9.1,311063.0,16.88
PALMIRA,2021,99.0,0.0,0.0,74.0,61.8,10.7,311063.0,19.87
PALMIRA,2022,104.0,0.0,0.0,78.0,65.0,11.3,311063.0,20.9
PALMIRA,2023,150.0,0.0,0.0,112.0,93.6,16.2,311063.0,30.09
PALMIRA,2024,96.0,0.0,0.0,72.0,60.0,10.4,311063.0,19.29
PRADERA,2020,2.0,0.0,0.0,2.0,1.4,0.2,54283.0,2.58
PRADERA,2021,9.0,0.0,0.0,7.0,5.7,1.0,54283.0,10.5
PRADERA,2022,8.0,0.0,0.0,6.0,5.0,0.8,54283.0,9.21
PRADERA,2023,8.0,0.0,0.0,6.0,5.0,0.8,54283.0,9.21
PRADERA,2024,8.0,0.0,0.0,6.0,5.0,0.8,54283.0,9.21
RESTREPO,2020,2.0,0.0,0.0,2.0,1.4,0.2,16000.0,8.75
RESTREPO,2021,1.0,0.0,0.0,1.0,0.7,0.1,16000.0,4.38
RESTREPO,2022,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,16000.0,11.25
RESTREPO,2023,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,16000.0,11.25
RESTREPO,2024,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,16000.0,11.25
RIOFRIO,2020,1.0,0.0,0.0,1.0,0.7,0.1,17400.0,4.02
RIOFRIO,2021,2.0,0.0,0.0,2.0,1.4,0.2,17400.0,8.05
RIOFRIO,2022,2.0,0.0,0.0,2.0,1.4,0.2,17400.0,8.05
RIOFRIO,2023,2.0,0.0,0.0,2.0,1.4,0.2,17400.0,8.05
ROLDANILLO,2020,13.0,0.0,0.0,10.0,8.2,1.4,38000.0,21.58
ROLDANILLO,2021,14.0,0.0,0.0,10.0,8.600000000000001,1.5,38000.0,22.63
ROLDANILLO,2022,9.0,0.0,0.0,7.0,5.7,1.0,38000.0,15.0
ROLDANILLO,2023,8.0,0.0,0.0,6.0,5.0,0.8,38000.0,13.16
ROLDANILLO,2024,15.0,0.0,0.0,11.0,9.3,1.6,38000.0,24.47
SAN PEDRO,2020,2.0,0.0,0.0,2.0,1.4,0.2,16500.0,8.48
SAN PEDRO,2021,1.0,0.0,0.0,1.0,0.7,0.1,16500.0,4.24
SAN PEDRO,2022,5.0,0.0,0.0,4.0,3.2,0.5,16500.0,19.39
SAN PEDRO,2023,5.0,0.0,0.0,4.0,3.2,0.5,16500.0,19.39
SAN PEDRO,2024,2.0,0.0,0.0,2.0,1.4,0.2,16500.0,8.48
SEVILLA,2020,12.0,0.0,0.0,9.0,7.5,1.3,44218.0,16.96
SEVILLA,2021,11.0,0.0,0.0,8.0,6.800000000000001,1.2,44218.0,15.38
SEVILLA,2022,13.0,0.0,0.0,10.0,8.2,1.4,44218.0,18.54
SEVILLA,2023,23.0,0.0,0.0,17.0,14.3,2.5,44218.0,32.34
SEVILLA,2024,16.0,0.0,0.0,12.0,10.0,1.7,44218.0,22.62
SIN_DATO,9999,0.0,0.0,63.0,0.0,12.600000000000001,2.2,50000.0,25.2
TORO,2022,1.0,0.0,0.0,1.0,0.7,0.1,17900.0,3.91
TORO,2023,2.0,0.0,0.0,2.0,1.4,0.2,17900.0,7.82
TORO,2024,1.0,0.0,0.0,1.0,0.7,0.1,17900.0,3.91
TRUJILLO,2020,1.0,0.0,0.0,1.0,0.7,0.1,17200.0,4.07
TRUJILLO,2022,2.0,0.0,0.0,2.0,1.4,0.2,17200.0,8.14
TRUJILLO,2023,2.0,0.0,0.0,2.0,1.4,0.2,17200.0,8.14
TRUJILLO,2024,4.0,0.0,0.0,3.0,2.5,0.4,17200.0,14.53
TULUA,2020,17.0,0.0,0.0,13.0,10.700000000000001,1.8,221048.0,4.84
TULUA,2021,21.0,0.0,0.0,16.0,13.2,2.3,221048.0,5.97
TULUA,2022,34.0,0.0,0.0,26.0,21.400000000000002,3.7,221048.0,9.68
TULUA,2023,46.0,0.0,0.0,34.0,28.6,4.9,221048.0,12.94
TULUA,2024,37.0,0.0,0.0,28.0,23.200000000000003,4.0,221048.0,10.5
VERSALLES,2020,2.0,0.0,0.0,2.0,1.4,0.2,8700.0,16.09
VERSALLES,2022,1.0,0.0,0.0,1.0,0.7,0.1,8700.0,8.05
VERSALLES,2023,1.0,0.0,0.0,1.0,0.7,0.1,8700.0,8.05
VIJES,2021,3.0,0.0,0.0,2.0,1.8000000000000003,0.3,14700.0,12.24
VIJES,2022,2.0,0.0,0.0,2.0,1.4,0.2,14700.0,9.52
VIJES,2023,1.0,0.0,0.0,1.0,0.7,0.1,14700.0,4.76
VIJES,2024,1.0,0.0,0.0,1.0,0.7,0.1,14700.0,4.76
YOTOCO,2020,1.0,0.0,0.0,1.0,0.7,0.1,17900.0,3.91
YOTOCO,2021,5.0,0.0,0.0,4.0,3.2,0.5,17900.0,17.88
YOTOCO,2022,7.0,0.0,0.0,5.0,4.300000000000001,0.7,17900.0,24.02
YOTOCO,2023,9.0,0.0,0.0,7.0,5.7,1.0,17900.0,31.84
YOTOCO,2024,6.0,0.0,0.0,4.0,3.6000000000000005,0.6,17900.0,20.11
YUMBO,2020,15.0,0.0,0.0,11.0,9.3,1.6,118397.0,7.85
YUMBO,2021,26.0,0.0,0.0,20.0,16.4,2.8,118397.0,13.85
YUMBO,2022,30.0,0.0,0.0,22.0,18.6,3.2,118397.0,15.71
YUMBO,2023,51.0,0.0,0.0,38.0,31.800000000000004,5.5,118397.0,26.86
YUMBO,2024,41.0,0.0,0.0,31.0,25.700000000000003,4.4,118397.0,21.71
ZARZAL,2020,8.0,0.0,0.0,6.0,5.0,0.8,44100.0,11.34
ZARZAL,2021,12.0,0.0,0.0,9.0,7.5,1.3,44100.0,17.01
ZARZAL,2022,11.0,0.0,0.0,8.0,6.800000000000001,1.2,44100.0,15.42
ZARZAL,2023,10.0,0.0,0.0,8.0,6.4,1.1,44100.0,14.51
ZARZAL,2024,11.0,0.0,0.0,8.0,6.800000000000001,1.2,44100.0,15.42
