clase_de_atencion,a_o_2008,a_o_2009,a_o_2010,a_o_2011,a_o_2012,a_o_2013,a_o_2014,a_o_2015,a_o_2016,a_o_2017,a_o_2018,a_o_2019,a_o_2020,a_o_2021,a_o_2022,municipio,tipo_ciclo,fuente,cantidad
RECONOCIMIENTO VOLUNTARIO DE PATERNIDAD.,0,0,0,0,0,0,0,0,0,3,7,3,3,2,3,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
DEMANDAS POR RECONOCIMIENTO PATERNO O FILIACIÓN.,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
ALIMENTOS,0,0,0,0,0,0,0,0,0,37,37,32,31,38,22,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
ALIMENTOS NASCITURUS,0,0,0,0,0,0,0,0,0,2,3,3,4,2,3,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
EJECUTIVOS ALIMENTOS,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
CUSTODIA Y CUIDADO PERSONAL,0,0,0,0,0,0,0,0,0,17,13,15,3,2,7,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
INOBSERVANCIA Y VULNERACIÓN -SPA.,0,0,0,0,0,0,0,0,0,7,17,6,5,6,6,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
DESERCIÓN   ESCOLAR O NO CONTINUARON SU FORMACIÓN ACADÉMICA.,0,0,0,0,0,0,0,0,0,17,12,9,11,9,13,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
TRABAJO INFANTIL,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
DESNUTRICIÓN Y MALNUTRICIÓN.,0,0,0,0,0,0,0,0,0,12,8,0,2,0,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
DENUNCIAS POR ABUSO SEXUAL.,0,0,0,0,0,0,0,0,0,1,5,4,3,5,5,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
"DENUNCIAS POR INASISTENCIA ALIMENTARIA, EJERCICIO ARBITRARIO DE LA CUSTODIA Y CUIDADO PERSONAL.",0,0,0,0,0,0,0,0,0,5,12,8,12,6,4,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
"DENUNCIAS O MEDIDAS DE PROTECCIÓN POR HURTO, DAÑO POR BIEN AJENO, LESIONES PERSONALES.",0,0,0,0,0,0,0,0,0,2,5,7,1,1,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
PROCESOS  ADMINISTRATIVOS DE RESTABLECIMIENTO,0,0,0,0,0,0,0,0,0,7,6,7,5,6,5,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
INCIDENTES DE DESACATO A  MEDIDAS DE PROTECCIÓN    POR  VIOLENCIA  FAMILIAR    O  DE  GENERO.,0,0,0,0,0,0,0,0,0,7,6,9,9,16,7,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
CONCILIACIONES,0,0,0,0,0,0,0,0,0,54,50,56,34,40,32,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
NO  CONCILIADAS,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
TUTELAS,0,0,0,0,0,0,0,0,0,4,2,5,2,2,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
ATENCIÓN ADULTO MAYOR,0,0,0,0,0,0,0,0,0,10,14,18,19,14,15,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
TALLERES  Y  CHARLAS  CON PADRES  DE  FAMILIA,0,0,0,0,0,0,0,0,0,12,15,14,2,3,7,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
REQUISAS,0,0,0,0,0,0,0,0,0,4,3,2,0,0,3,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
"ACTAS  DE AMONESTACIÓN, ASISTENCIA FAMILIAR  Y COMPROMISO",0,0,0,0,0,0,0,0,0,15,18,24,24,17,23,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
NNA EN HOGAR PASO,0,0,0,0,0,0,0,0,0,23,22,19,11,14,9,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
MESAS  TECNICAS  DE INFANCIA  ADOLESCENCIA  Y FAMILIA -  COMPOS,0,0,0,0,0,0,0,0,0,4,4,4,3,2,2,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
CASOS DE EMBARAZOS EN MENORES DE EDAD,0,0,0,0,0,0,0,0,0,6/59,5/54,4/63,7/45,5/68,5/|23,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
CASOS DE ABUSO SEXUAL EN MENORES DE EDAD (MASCULINOS),0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
CASOS DE ABUSO SEXUAL EN MENORES DE EDAD (FEMENINOS),0,0,0,0,0,0,0,0,0,1,5,3,3,6,5,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
MEDIDAS DE PROTECCIÓN  FAMILIAR,0,0,0,0,0,0,0,0,0,18,17,21,39,29,11,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
DESACATO A MEDIDAS DE PROTECCIÓN,0,0,0,0,0,0,0,0,0,7,6,9,9,17,7,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
"CASOS DE  AUTOLESIÓN,  IDEACIÓN   O INTENTO SUICIDA  EN MENORES DE EDAD (MASCULINOS)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
"CASOS DE  AUTOLESIÓN,  IDEACIÓN   O INTENTO SUICIDA  EN MENORES DE EDAD (FEMENINOS)",0,0,0,0,0,0,0,0,0,2,6,3,4,2,3,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
REGISTRO MUERTES DE NIÑ@S  Y  ADOLESCENTES   (12–17 AÑOS),0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
REGISTRO MUERTES DE NIÑ@S  Y  ADOLESCENTES   (9  AÑOS),0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
REGISTRO MUERTES DE NIÑ@S  Y  ADOLESCENTES   (8 AÑOS),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
REGISTRO MUERTES DE NIÑ@S  Y  ADOLESCENTES   (6 AÑOS),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
REGISTRO MUERTES DE NIÑ@S  Y  ADOLESCENTES   (4 AÑOS),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
REGISTRO MUERTES DE NIÑ@S  Y  ADOLESCENTES   (0 AÑOS),1,1,0,1,2,2,2,2,1,0,1,0,0,0,1,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
PERSONAS ATENDIDAS EN COMISARIA DE FAMILIA,668,958,1533,1794,2525,2258,1550,1233,2555,1826,1696,1909,1433,1771,778,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
ATENCIÓN   Y  ORIENTACIÓN A  VICTIMAS  DE VIOLENCIA INTRAFAMNILIAR,0,0,0,0,0,0,0,0,31,25,23,30,48,43,18,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
ESTABLECIMIENTO DE CUOTA ALIMENTARIA,0,0,0,0,0,0,0,0,26,37,37,32,34,38,28,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
ESTABLECIMIENTO DE CUSTODIA Y CUIDADO PERSONAL,0,0,0,0,0,0,0,0,20,17,13,15,12,14,5,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
ORIENTACION EN EL PROCESO DE RECONOCIMIENTO PATERNO,0,0,0,0,0,0,0,0,5,3,7,3,6,5,3,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
ORIENTACION EN LOS PROCESOS DE PROTECCION INTEGRAL,0,0,0,0,0,0,0,0,6,7,6,5,4,6,5,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
ATENCION Y ORIENTACION EN LOS CASOS DE PRESUNTO ABUSO SEXUAL.,0,0,0,0,0,0,0,0,6,1,5,4,3,5,7,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
TRABAJO  O SEGUIMIENTO  CON ADULTO  MAYOR,0,0,0,0,0,0,0,0,9,10,14,17,19,14,15,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
TRABAJO  O SEGUIMIENTO  CON  POBLACIÓN   DIVERSAMENTE  HABIL,0,0,0,0,0,0,0,0,2,2,3,2,2,3,2,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
VERIFICAR GARANTIA  DE DERECHOS.,0,0,0,0,0,0,0,0,94,98,101,77,75,93,32,SIN_DATO,MEDIDA_ICBF,ICBF — Medidas de Protección (23x2-bgqa),1.0
