municipio,anio,vif_total,hurto_total,alimentos_familia_total,medidas_proteccion_total,ivf_score_bruto,ivf_score_ponderado,poblacion,ivf_tasa_100k
ALCALA,2025,0.0,19,0.0,0,1.9000000000000001,4.9,17200,11.05
ANDALUCIA,2024,0.0,2,0.0,0,0.2,0.3,19800,1.01
ANDALUCIA,2025,0.0,32,0.0,0,3.2,8.5,19800,16.16
ANSERMANUEVO,2025,0.0,14,0.0,0,1.4000000000000001,3.6,16300,8.59
ARGELIA,2025,0.0,3,0.0,0,0.30000000000000004,0.5,10400,2.88
BOLIVAR,2025,0.0,6,0.0,0,0.6000000000000001,1.4,22100,2.71
BUENAVENTURA,2024,0.0,13,0.0,0,1.3,3.3,436665,0.3
BUENAVENTURA,2025,0.0,291,0.0,0,29.1,79.7,436665,6.66
BUGALAGRANDE,2024,0.0,2,0.0,0,0.2,0.3,22000,0.91
BUGALAGRANDE,2025,0.0,30,0.0,0,3.0,8.0,22000,13.64
CAICEDONIA,2024,0.0,2,0.0,0,0.2,0.3,28900,0.69
CAICEDONIA,2025,0.0,41,0.0,0,4.1000000000000005,11.0,28900,14.19
CALI,2024,0.0,13,0.0,0,1.3,3.3,2237030,0.06
CALI,2025,0.0,365,0.0,0,36.5,100.0,2237030,1.63
CALIMA,2024,0.0,2,0.0,0,0.2,0.3,22100,0.9
CALIMA,2025,0.0,35,0.0,0,3.5,9.3,22100,15.84
CANDELARIA,2024,0.0,8,0.0,0,0.8,1.9,103840,0.77
CANDELARIA,2025,0.0,232,0.0,0,23.200000000000003,63.5,103840,22.34
CARTAGO,2024,0.0,4,0.0,0,0.4,0.8,138001,0.29
CARTAGO,2025,0.0,193,0.0,0,19.3,52.7,138001,13.99
DAGUA,2025,0.0,56,0.0,0,5.6000000000000005,15.1,35800,15.64
EL AGUILA,2025,0.0,4,0.0,0,0.4,0.8,9300,4.3
EL CERRITO,2024,0.0,4,0.0,0,0.4,0.8,57248,0.7
EL CERRITO,2025,0.0,128,0.0,0,12.8,34.9,57248,22.36
EL DOVIO,2025,0.0,1,0.0,0,0.1,0.0,9100,1.1
FLORIDA,2024,0.0,6,0.0,0,0.6000000000000001,1.4,63458,0.95
FLORIDA,2025,0.0,151,0.0,0,15.100000000000001,41.2,63458,23.8
GINEBRA,2025,0.0,36,0.0,0,3.6,9.6,20800,17.31
GUACARI,2024,0.0,1,0.0,0,0.1,0.0,31420,0.32
GUACARI,2025,0.0,62,0.0,0,6.2,16.8,31420,19.73
GUADALAJARA DE BUGA,2024,0.0,11,0.0,0,1.1,2.7,122601,0.9
GUADALAJARA DE BUGA,2025,0.0,248,0.0,0,24.8,67.9,122601,20.23
JAMUNDI,2024,0.0,10,0.0,0,1.0,2.5,167441,0.6
JAMUNDI,2025,0.0,266,0.0,0,26.6,72.8,167441,15.89
LA CUMBRE,2024,0.0,1,0.0,0,0.1,0.0,13100,0.76
LA CUMBRE,2025,0.0,12,0.0,0,1.2000000000000002,3.0,13100,9.16
LA UNION,2025,0.0,21,0.0,0,2.1,5.5,36000,5.83
LA VICTORIA,2025,0.0,5,0.0,0,0.5,1.1,14000,3.57
OBANDO,2024,0.0,1,0.0,0,0.1,0.0,13700,0.73
OBANDO,2025,0.0,8,0.0,0,0.8,1.9,13700,5.84
PALMIRA,2024,0.0,14,0.0,0,1.4000000000000001,3.6,311063,0.45
PALMIRA,2025,0.0,359,0.0,0,35.9,98.4,311063,11.54
PRADERA,2024,0.0,3,0.0,0,0.30000000000000004,0.5,54283,0.55
PRADERA,2025,0.0,90,0.0,0,9.0,24.5,54283,16.58
RESTREPO,2024,0.0,1,0.0,0,0.1,0.0,16000,0.62
RESTREPO,2025,0.0,12,0.0,0,1.2000000000000002,3.0,16000,7.5
RIOFRIO,2024,0.0,1,0.0,0,0.1,0.0,17400,0.57
RIOFRIO,2025,0.0,20,0.0,0,2.0,5.2,17400,11.49
ROLDANILLO,2024,0.0,3,0.0,0,0.30000000000000004,0.5,38000,0.79
ROLDANILLO,2025,0.0,26,0.0,0,2.6,6.9,38000,6.84
SAN PEDRO,2024,0.0,1,0.0,0,0.1,0.0,16500,0.61
SAN PEDRO,2025,0.0,29,0.0,0,2.9000000000000004,7.7,16500,17.58
SEVILLA,2024,0.0,2,0.0,0,0.2,0.3,44218,0.45
SEVILLA,2025,0.0,57,0.0,0,5.7,15.4,44218,12.89
TORO,2025,0.0,3,0.0,0,0.30000000000000004,0.5,17900,1.68
TRUJILLO,2025,0.0,6,0.0,0,0.6000000000000001,1.4,17200,3.49
TULUA,2024,0.0,10,0.0,0,1.0,2.5,221048,0.45
TULUA,2025,0.0,278,0.0,0,27.8,76.1,221048,12.58
VERSALLES,2025,0.0,3,0.0,0,0.30000000000000004,0.5,8700,3.45
VIJES,2025,0.0,15,0.0,0,1.5,3.8,14700,10.2
YOTOCO,2025,0.0,23,0.0,0,2.3000000000000003,6.0,17900,12.85
YUMBO,2024,0.0,8,0.0,0,0.8,1.9,118397,0.68
YUMBO,2025,0.0,251,0.0,0,25.1,68.7,118397,21.2
ZARZAL,2024,0.0,2,0.0,0,0.2,0.3,44100,0.45
ZARZAL,2025,0.0,45,0.0,0,4.5,12.1,44100,10.2
