municipio,vif_total,alimentos_familia_total,medidas_proteccion_total,inasistencia_total,ivf_score_bruto,ivf_score_ponderado,ivf_tasa_100k,alerta
CALI,3246.0,2435.0,0.0,0.0,2028.9,70.34,18.137999999999998,True
PALMIRA,533.0,399.0,0.0,0.0,332.9,11.54,21.406,True
GUADALAJARA DE BUGA,306.0,229.0,0.0,0.0,191.1,6.6,31.174,True
CARTAGO,256.0,192.0,0.0,0.0,160.0,5.56,23.19,True
YUMBO,163.0,122.0,0.0,0.0,101.80000000000001,3.5,17.196,True
TULUA,155.0,117.0,0.0,0.0,97.10000000000001,3.34,8.786,True
BUENAVENTURA,154.0,115.0,0.0,0.0,96.1,3.34,4.4,True
CANDELARIA,144.0,108.0,0.0,0.0,90.0,3.0799999999999996,17.336,True
JAMUNDI,123.0,92.0,0.0,0.0,76.80000000000001,2.6399999999999997,9.172,True
SIN_DATO,0.0,0.0,63.0,0.0,12.600000000000001,2.2,25.2,True
SEVILLA,75.0,56.0,0.0,0.0,46.8,1.6199999999999999,21.168,True
GUACARI,68.0,51.0,0.0,0.0,42.5,1.48,27.052,False
DAGUA,76.0,57.0,0.0,1.0,47.6,1.3666666666666665,22.16,False
CAICEDONIA,59.0,44.0,0.0,0.0,36.800000000000004,1.28,25.466,False
ROLDANILLO,59.0,44.0,0.0,0.0,36.8,1.26,19.368000000000002,False
ZARZAL,52.0,39.0,0.0,0.0,32.5,1.1199999999999999,14.74,False
EL CERRITO,51.0,37.0,0.0,0.0,31.500000000000004,1.1,11.006,False
FLORIDA,38.0,28.0,0.0,0.0,23.6,0.8,7.44,False
PRADERA,35.0,27.0,0.0,0.0,22.1,0.72,8.142,False
GINEBRA,23.0,17.0,0.0,0.0,14.3,0.6,17.1875,False
YOTOCO,28.0,21.0,0.0,0.0,17.5,0.58,19.552,False
LA UNION,22.0,16.0,0.0,0.0,13.600000000000001,0.575,9.442499999999999,False
ANDALUCIA,19.0,15.0,0.0,0.0,12.100000000000001,0.38,12.222,False
OBANDO,19.0,14.0,0.0,0.0,11.8,0.38,17.228,False
CALIMA,16.0,12.0,0.0,0.0,10.000000000000002,0.31999999999999995,9.048,False
SAN PEDRO,15.0,13.0,0.0,0.0,9.9,0.3,11.996,False
BUGALAGRANDE,14.0,11.0,0.0,0.0,8.9,0.27999999999999997,8.088,False
LA CUMBRE,12.0,10.0,0.0,0.0,7.8,0.24,11.908,False
RESTREPO,12.0,9.0,0.0,0.0,7.500000000000001,0.24,9.376,False
BOLIVAR,14.0,11.0,0.0,1.0,9.0,0.2333333333333333,6.785,False
TRUJILLO,9.0,8.0,0.0,0.0,6.0,0.225,8.72,False
ALCALA,11.0,9.0,0.0,0.0,7.1000000000000005,0.22000000000000003,8.256,False
ARGELIA,4.0,3.0,0.0,0.0,2.5,0.2,12.02,False
ANSERMANUEVO,8.0,7.0,0.0,0.0,5.3,0.2,8.1275,False
RIOFRIO,7.0,7.0,0.0,0.0,4.8999999999999995,0.17500000000000002,7.0425,False
VIJES,7.0,6.0,0.0,0.0,4.6,0.175,7.82,False
LA VICTORIA,5.0,5.0,0.0,0.0,3.5,0.16666666666666666,8.333333333333334,False
EL AGUILA,5.0,5.0,0.0,0.0,3.5,0.16666666666666666,12.543333333333335,False
VERSALLES,4.0,4.0,0.0,0.0,2.8,0.13333333333333333,10.729999999999999,False
TORO,4.0,4.0,0.0,0.0,2.8,0.13333333333333333,5.213333333333334,False
EL CAIRO,1.0,1.0,0.0,0.0,0.7,0.1,7.95,False
EL DOVIO,4.0,4.0,0.0,1.0,2.9,0.1,7.965000000000001,False
