municipio_norm,hurto_total,ivf_score_provisional
CALI,102211,102211
PALMIRA,9378,9378
BUENAVENTURA,3634,3634
TULUA,3207,3207
JAMUNDI,3176,3176
YUMBO,2989,2989
GUADALAJARA DE BUGA,2093,2093
CANDELARIA,1750,1750
CARTAGO,1651,1651
FLORIDA,808,808
EL CERRITO,780,780
PRADERA,573,573
SEVILLA,368,368
ZARZAL,323,323
GUACARI,302,302
DAGUA,254,254
CALIMA,254,254
CAICEDONIA,230,230
BUGALAGRANDE,188,188
GINEBRA,181,181
LA UNION,162,162
ROLDANILLO,157,157
YOTOCO,138,138
ANDALUCIA,123,123
SAN PEDRO,116,116
ALCALA,114,114
LA CUMBRE,84,84
ANSERMANUEVO,79,79
RESTREPO,75,75
VIJES,69,69
RIOFRIO,68,68
OBANDO,50,50
TRUJILLO,50,50
LA VICTORIA,40,40
BOLIVAR,34,34
TORO,24,24
ULLOA,18,18
VERSALLES,14,14
EL DOVIO,13,13
EL AGUILA,10,10
EL CAIRO,8,8
ARGELIA,7,7
