municipio_norm,hurto_total,ivf_score_bruto,ivf_score_ponderado,poblacion_2024,ivf_tasa_100k,rank_bruto,rank_ponderado,rank_percapita
CALI,120196,120196,100.0,2237030,5373.02,1,1,1
PALMIRA,11049,11049,9.19,311063,3552.01,2,2,2
BUENAVENTURA,4230,4230,3.52,436665,968.71,3,3,17
TULUA,3718,3718,3.09,221048,1681.99,4,4,7
JAMUNDI,3692,3692,3.07,167441,2204.96,5,5,4
YUMBO,3455,3455,2.87,118397,2918.15,6,6,3
GUADALAJARA DE BUGA,2549,2549,2.12,122601,2079.1,7,7,5
CANDELARIA,2152,2152,1.79,103840,2072.42,8,8,6
CARTAGO,1939,1939,1.61,138001,1405.06,9,9,10
FLORIDA,1004,1004,0.84,63458,1582.15,10,10,9
EL CERRITO,952,952,0.79,57248,1662.94,11,11,8
PRADERA,675,675,0.56,54283,1243.48,12,12,12
SEVILLA,437,437,0.36,44218,988.29,13,13,16
ZARZAL,387,387,0.32,44100,877.55,14,14,21
GUACARI,368,368,0.31,31420,1171.23,15,15,13
DAGUA,312,312,0.26,35800,871.51,16,16,22
CALIMA,293,293,0.24,22100,1325.79,17,17,11
CAICEDONIA,277,277,0.23,28900,958.48,18,18,18
GINEBRA,222,222,0.18,20800,1067.31,19,19,14
BUGALAGRANDE,220,220,0.18,22000,1000.0,20,19,15
ROLDANILLO,185,185,0.15,38000,486.84,21,21,31
LA UNION,185,185,0.15,36000,513.89,21,21,29
ANDALUCIA,157,157,0.13,19800,792.93,24,23,23
YOTOCO,162,162,0.13,17900,905.03,23,23,19
SAN PEDRO,149,149,0.12,16500,903.03,25,25,20
ALCALA,135,135,0.11,17200,784.88,26,26,24
ANSERMANUEVO,93,93,0.08,16300,570.55,28,27,27
LA CUMBRE,99,99,0.08,13100,755.73,27,27,25
RESTREPO,88,88,0.07,16000,550.0,29,29,28
VIJES,87,87,0.07,14700,591.84,31,29,26
RIOFRIO,88,88,0.07,17400,505.75,29,29,30
OBANDO,59,59,0.05,13700,430.66,32,32,32
TRUJILLO,56,56,0.05,17200,325.58,33,32,34
LA VICTORIA,46,46,0.04,14000,328.57,34,34,33
BOLIVAR,41,41,0.03,22100,185.52,35,35,37
TORO,27,27,0.02,17900,150.84,36,36,39
ARGELIA,10,10,0.01,10400,96.15,41,37,41
EL DOVIO,14,14,0.01,9100,153.85,39,37,38
EL CAIRO,8,8,0.01,8800,90.91,42,37,42
EL AGUILA,14,14,0.01,9300,150.54,39,37,40
VERSALLES,18,18,0.01,8700,206.9,37,37,36
ULLOA,18,18,0.01,6800,264.71,37,37,35
