expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado,tipo_proceso_enc,municipio_enc,despacho_enc,duracion_estimada,p75_duracion,riesgo
EXP-02592,EL CERRITO,HURTO_PATRIMONIAL,Juzgado_1_Familia,2020,41,1.35,14,1,886,1,1,4,2,857,550.0,Alto
EXP-04600,CANDELARIA,HURTO_PATRIMONIAL,Juzgado_1_Familia,2022,48,1.35,15,1,873,1,1,2,2,842,550.0,Alto
EXP-00495,SEVILLA,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2024,35,1.25,16,1,909,1,1,10,5,801,499.0,Alto
EXP-04538,EL CERRITO,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2023,41,1.25,13,1,812,1,1,4,5,796,499.0,Alto
EXP-02958,PRADERA,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2022,38,1.25,13,1,782,1,1,9,5,780,499.0,Alto
EXP-04934,SEVILLA,HURTO_PATRIMONIAL,Juzgado_3_Familia,2023,35,0.95,13,1,784,1,1,10,4,770,422.5,Alto
EXP-03602,JAMUNDI,HURTO_PATRIMONIAL,Comisaria_1_Familia,2024,67,1.1,14,1,837,1,1,7,0,769,440.0,Alto
EXP-04719,BUENAVENTURA,HURTO_PATRIMONIAL,Comisaria_2_Familia,2022,89,0.9,11,1,798,1,1,0,1,764,388.25,Alto
EXP-03649,PALMIRA,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2024,74,1.25,12,1,746,1,1,8,5,762,499.0,Alto
EXP-04521,TULUA,HURTO_PATRIMONIAL,Comisaria_1_Familia,2023,71,1.1,13,1,798,1,1,11,0,762,440.0,Alto
EXP-00898,EL CERRITO,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2,2023,41,1.05,12,1,791,1,1,4,6,754,409.5,Alto
EXP-04929,JAMUNDI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2,2024,67,1.05,12,1,765,1,1,7,6,738,409.5,Alto
EXP-00268,PALMIRA,ALIMENTOS,Juzgado_1_Familia,2023,74,1.35,12,1,740,1,0,8,2,731,482.25,Alto
EXP-04461,JAMUNDI,ALIMENTOS,Juzgado_Penal_Municipal_1,2024,67,1.25,12,1,779,1,0,7,5,730,433.0,Alto
EXP-04704,JAMUNDI,HURTO_PATRIMONIAL,Comisaria_1_Familia,2024,67,1.1,12,1,690,1,1,7,0,729,440.0,Alto
EXP-03485,FLORIDA,ALIMENTOS,Juzgado_Penal_Municipal_1,2022,44,1.25,12,1,750,1,0,5,5,727,433.0,Alto
EXP-02299,PALMIRA,HURTO_PATRIMONIAL,Comisaria_1_Familia,2022,74,1.1,12,1,721,1,1,8,0,720,440.0,Alto
EXP-01551,GUADALAJARA DE BUGA,HURTO_PATRIMONIAL,Comisaria_1_Familia,2023,53,1.1,12,1,670,1,1,6,0,713,440.0,Alto
EXP-01750,TULUA,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2,2024,71,1.05,11,1,784,1,1,11,6,704,409.5,Alto
EXP-02997,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2,2024,82,1.05,11,1,707,1,1,1,6,698,409.5,Alto
EXP-04980,GUADALAJARA DE BUGA,ALIMENTOS,Comisaria_1_Familia,2020,53,1.1,12,1,679,1,0,6,0,688,412.5,Alto
EXP-02953,TULUA,ALIMENTOS,Juzgado_Penal_Municipal_1,2023,71,1.25,11,1,684,1,0,11,5,686,433.0,Alto
