municipio,anio,vif_total,inasistencia_total,medidas_proteccion_total,alimentos_familia_total,ivf_score_bruto,ivf_score_ponderado,poblacion,ivf_tasa_100k,nivel_riesgo
,2023,2,0,0,0,0.8,0.0,50000,1.6,BAJO
,2024,1,0,0,0,0.4,0.0,50000,0.8,BAJO
,2025,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ABEJORRAL,2020,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ABEJORRAL,2021,18,0,0,0,7.2,0.1,50000,14.4,MEDIO
ABEJORRAL,2022,27,0,0,0,10.8,0.2,50000,21.6,ALTO
ABEJORRAL,2023,47,0,0,0,18.8,0.3,50000,37.6,ALTO
ABEJORRAL,2024,20,0,0,0,8.0,0.1,50000,16.0,MEDIO
ABEJORRAL,2025,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
ABREGO,2020,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ABREGO,2021,28,0,0,0,11.200000000000001,0.2,50000,22.4,ALTO
ABREGO,2022,11,0,0,0,4.4,0.1,50000,8.8,MEDIO
ABREGO,2023,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
ABREGO,2024,16,0,0,0,6.4,0.1,50000,12.8,MEDIO
ABREGO,2025,41,0,0,0,16.400000000000002,0.3,50000,32.8,ALTO
ABRIAQUI,2020,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ACACIAS,2020,100,0,0,0,40.0,0.6,50000,80.0,ALTO
ACACIAS,2021,228,0,0,0,91.2,1.5,50000,182.4,ALTO
ACACIAS,2022,179,0,0,0,71.60000000000001,1.1,50000,143.2,ALTO
ACACIAS,2023,185,0,0,0,74.0,1.2,50000,148.0,ALTO
ACACIAS,2024,174,0,0,0,69.60000000000001,1.1,50000,139.2,ALTO
ACACIAS,2025,137,0,0,0,54.800000000000004,0.9,50000,109.6,ALTO
ACANDI,2020,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ACANDI,2021,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
ACANDI,2022,12,0,0,0,4.800000000000001,0.1,50000,9.6,MEDIO
ACANDI,2023,8,0,0,0,3.2,0.0,50000,6.4,BAJO
ACANDI,2024,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
ACANDI,2025,15,0,0,0,6.0,0.1,50000,12.0,MEDIO
ACEVEDO,2020,16,0,0,0,6.4,0.1,50000,12.8,MEDIO
ACEVEDO,2021,19,0,0,0,7.6000000000000005,0.1,50000,15.2,MEDIO
ACEVEDO,2022,17,0,0,0,6.800000000000001,0.1,50000,13.6,MEDIO
ACEVEDO,2023,53,0,0,0,21.200000000000003,0.3,50000,42.4,ALTO
ACEVEDO,2024,44,0,0,0,17.6,0.3,50000,35.2,ALTO
ACEVEDO,2025,53,0,0,0,21.200000000000003,0.3,50000,42.4,ALTO
ACHI,2020,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ACHI,2021,2,0,0,0,0.8,0.0,50000,1.6,BAJO
ACHI,2022,1,0,0,0,0.4,0.0,50000,0.8,BAJO
ACHI,2023,5,0,0,0,2.0,0.0,50000,4.0,BAJO
ACHI,2024,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
ACHI,2025,3,0,0,0,1.2000000000000002,0.0,50000,2.4,BAJO
AGRADO,2020,2,0,0,0,0.8,0.0,50000,1.6,BAJO
AGRADO,2021,8,0,0,0,3.2,0.0,50000,6.4,BAJO
AGRADO,2022,9,0,0,0,3.6,0.1,50000,7.2,MEDIO
AGRADO,2023,10,0,0,0,4.0,0.1,50000,8.0,MEDIO
AGRADO,2024,18,0,0,0,7.2,0.1,50000,14.4,MEDIO
AGRADO,2025,17,0,0,0,6.800000000000001,0.1,50000,13.6,MEDIO
AGUA DE DIOS,2020,4,0,0,0,1.6,0.0,50000,3.2,BAJO
AGUA DE DIOS,2021,16,0,0,0,6.4,0.1,50000,12.8,MEDIO
AGUA DE DIOS,2022,20,0,0,0,8.0,0.1,50000,16.0,MEDIO
AGUA DE DIOS,2023,23,0,0,0,9.200000000000001,0.1,50000,18.4,MEDIO
AGUA DE DIOS,2024,16,0,0,0,6.4,0.1,50000,12.8,MEDIO
AGUA DE DIOS,2025,19,0,0,0,7.6000000000000005,0.1,50000,15.2,MEDIO
AGUACHICA,2020,132,0,0,0,52.800000000000004,0.8,50000,105.6,ALTO
AGUACHICA,2021,92,0,0,0,36.800000000000004,0.6,50000,73.6,ALTO
AGUACHICA,2022,77,0,0,0,30.8,0.5,50000,61.6,ALTO
AGUACHICA,2023,77,0,0,0,30.8,0.5,50000,61.6,ALTO
AGUACHICA,2024,74,0,0,0,29.6,0.5,50000,59.2,ALTO
AGUACHICA,2025,187,0,0,0,74.8,1.2,50000,149.6,ALTO
AGUADA,2021,2,0,0,0,0.8,0.0,50000,1.6,BAJO
AGUADA,2022,1,0,0,0,0.4,0.0,50000,0.8,BAJO
AGUADA,2024,4,0,0,0,1.6,0.0,50000,3.2,BAJO
AGUADAS,2020,13,0,0,0,5.2,0.1,50000,10.4,MEDIO
AGUADAS,2021,8,0,0,0,3.2,0.0,50000,6.4,BAJO
AGUADAS,2022,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
AGUADAS,2023,2,0,0,0,0.8,0.0,50000,1.6,BAJO
AGUADAS,2024,6,0,0,0,2.4000000000000004,0.0,50000,4.8,BAJO
AGUAZUL,2020,40,0,0,0,16.0,0.3,50000,32.0,ALTO
AGUAZUL,2021,69,0,0,0,27.6,0.4,50000,55.2,ALTO
AGUAZUL,2022,62,0,0,0,24.8,0.4,50000,49.6,ALTO
