divipola_municipal,departamento,municipio,pagos_asistencia_alimentaria,asistencia_t_cnica_integral,autosostenimiento_y_seguridad,proyectos_productivos_pp_corto,proyectos_productivos_pp_largo,recolectores,fecha_de_corte,tipo_ciclo,fuente,cantidad
05040,ANTIOQUIA,ANORI,1780,1782,1627,1376,1613,337,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
05107,ANTIOQUIA,BRICENO,2237,2236,2097,1960,1992,421,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
05120,ANTIOQUIA,CACERES,1392,1470,1216,1119,1187,192,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
05361,ANTIOQUIA,ITUANGO,597,484,485,444,568,10,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
05790,ANTIOQUIA,TARAZA,2973,2970,2445,1892,2644,90,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
81065,ARAUCA,ARAUQUITA,345,346,330,301,315,134,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
13160,BOLIVAR,CANTAGALLO,561,563,550,393,538,0,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
13670,BOLIVAR,SAN PABLO,995,968,254,920,947,0,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
13688,BOLIVAR,SANTA ROSA DEL SUR,1165,1181,1155,997,1138,0,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
18094,CAQUETA,BELEN DE LOS ANDAQUIES,455,460,419,412,421,152,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
18150,CAQUETA,CARTAGENA DEL CHAIRA,1591,1614,1414,1377,1444,656,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
18205,CAQUETA,CURILLO,373,377,353,332,335,153,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
18247,CAQUETA,EL DONCELLO,605,617,594,543,569,247,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
18256,CAQUETA,EL PAUJIL,943,960,863,855,896,190,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
18410,CAQUETA,LA MONTANITA,2424,2357,2294,2265,2299,521,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
18592,CAQUETA,PUERTO RICO,1518,1675,1404,1375,1365,655,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
18610,CAQUETA,SAN JOSE DEL FRAGUA,545,555,515,497,498,137,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
18753,CAQUETA,SAN VICENTE DEL CAGUAN,877,879,852,744,830,276,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
19256,CAUCA,EL TAMBO,825,760,603,594,728,230,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
19364,CAUCA,JAMBALO,1453,1395,1153,675,1301,363,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
19455,CAUCA,MIRANDA,652,643,500,507,608,124,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
19533,CAUCA,PIAMONTE,725,730,714,629,695,190,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
19622,CAUCA,ROSAS,14,14,10,5,14,4,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
23466,CORDOBA,MONTELIBANO,1010,999,876,865,987,81,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
23580,CORDOBA,PUERTO LIBERTADOR,1265,1270,1203,1272,1200,146,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
23682,CORDOBA,SAN JOSE DE URE,441,445,422,446,410,67,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
23807,CORDOBA,TIERRALTA,3125,3104,2590,1877,3020,117,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
94343,GUAINIA,BARRANCO MINAS,21,21,18,0,15,8,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
95015,GUAVIARE,CALAMAR,580,554,407,328,503,76,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
95025,GUAVIARE,EL RETORNO,1125,1245,982,894,1012,264,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
95200,GUAVIARE,MIRAFLORES,690,694,634,229,610,221,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
95001,GUAVIARE,SAN JOSE DEL GUAVIARE,2865,3089,2569,2166,2616,723,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
50350,META,LA MACARENA,1639,1641,1430,32,1496,768,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
50325,META,MAPIRIPAN,548,547,497,96,482,147,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
50330,META,MESETAS,462,715,407,56,433,381,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
50450,META,PUERTO CONCORDIA,557,519,274,90,513,138,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
50590,META,PUERTO RICO,961,928,857,145,862,207,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
50370,META,URIBE,926,992,872,427,859,162,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
50711,META,VISTAHERMOSA,1575,1572,1369,210,1507,388,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
52356,NARINO,IPIALES,480,489,390,361,364,102,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
52835,NARINO,SAN ANDRES DE TUMACO,15771,15634,14283,13714,13290,184,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
54720,NORTE DE SANTANDER,SARDINATA,186,179,153,128,174,61,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
54810,NORTE DE SANTANDER,TIBU,1675,1539,1396,1141,1475,524,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
86001,PUTUMAYO,MOCOA,103,105,102,99,101,51,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
86320,PUTUMAYO,ORITO,3252,3312,3173,2700,3132,475,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
86568,PUTUMAYO,PUERTO ASIS,3568,3584,3216,2761,3236,533,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
86569,PUTUMAYO,PUERTO CAICEDO,999,1012,822,802,808,205,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
86571,PUTUMAYO,PUERTO GUZMAN,2638,2701,2410,1905,2396,490,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
86573,PUTUMAYO,PUERTO LEGUIZAMO,765,774,637,374,673,103,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
86757,PUTUMAYO,SAN MIGUEL,774,832,691,656,658,354,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
86865,PUTUMAYO,VALLE DEL GUAMUEZ,1389,1413,1245,1093,1228,254,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
86885,PUTUMAYO,VILLAGARZON,968,986,901,888,892,276,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
76100,VALLE DEL CAUCA,BOLIVAR,263,269,260,218,244,15,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
76233,VALLE DEL CAUCA,DAGUA,413,423,405,355,398,40,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
76250,VALLE DEL CAUCA,EL DOVIO,150,152,143,124,142,6,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
99773,VICHADA,CUMARIBO,680,688,637,540,605,101,2026-02-27T00:00:00.000,INASISTENCIA,Fiscalia — Inasistencia Alimentaria,1
