municipio,vif_total,alimentos_familia_total,medidas_proteccion_total,inasistencia_total,ivf_score_bruto,ivf_score_ponderado,ivf_tasa_100k,alerta
SIN_DATO,0,114650,0,0,34395.0,91.91666666666667,11465.0,True
"BOGOTA, D.C.",25842,0,0,0,10336.800000000001,33.14,4134.719999999999,True
BOGOTA D.C. (CT),11658,0,0,0,4663.200000000001,12.483333333333334,1554.3999999999999,True
MEDELLIN,6398,0,0,0,2559.2,8.2,1023.68,True
SOACHA,6651,0,0,0,2660.4,7.1000000000000005,886.7999999999998,True
MEDELLIN (CT),6069,0,0,0,2427.6000000000004,6.5,809.1999999999999,True
CALI (CT),4797,0,0,0,1918.8,5.133333333333334,639.6,True
CALI,3246,0,0,0,1298.4,4.16,11.608,True
CARTAGENA (CT),3740,0,0,0,1496.0,3.983333333333333,498.6666666666667,True
BELLO,3621,0,0,0,1448.4,3.8666666666666667,482.8,True
PASTO (CT),3419,0,0,0,1367.6000000000001,3.6500000000000004,455.8666666666666,True
BARRANQUILLA (CT),3402,0,0,0,1360.8000000000002,3.6166666666666667,453.59999999999997,True
BARRANQUILLA,2796,0,0,0,1118.4,3.56,447.36,True
IBAGUE (CT),3291,0,0,0,1316.4,3.5,438.8,True
FUSAGASUGA,3093,0,0,0,1237.2,3.3166666666666664,412.40000000000003,True
BARRANCABERMEJA,3072,0,0,0,1228.8000000000002,3.3000000000000003,409.59999999999997,True
SOGAMOSO,2779,0,0,0,1111.6000000000001,2.966666666666667,370.5333333333333,True
SOLEDAD,2653,0,0,0,1061.2,2.85,353.73333333333335,True
CUCUTA (CT),2602,0,0,0,1040.8,2.783333333333333,346.93333333333334,True
BUCARAMANGA (CT),2408,0,0,0,963.2,2.5833333333333335,321.06666666666666,True
PALMIRA,2426,0,0,0,970.4000000000001,2.5833333333333335,51.99666666666667,True
ITAGUI,2300,0,0,0,920.0,2.466666666666667,306.6666666666667,True
VILLAVICENCIO,1892,0,0,0,756.8000000000001,2.42,302.71999999999997,True
TUNJA (CT),2280,0,0,0,912.0000000000001,2.4166666666666665,304.0,True
VALLEDUPAR (CT),2210,0,0,0,884.0,2.3666666666666667,294.6666666666667,True
IBAGUE,1773,0,0,0,709.2,2.28,283.68,True
VILLAVICENCIO (CT),2125,0,0,0,850.0,2.25,283.3333333333333,True
MOSQUERA,2093,0,0,0,837.2,2.2333333333333334,279.06666666666666,True
SANTA MARTA (CT),2049,0,0,0,819.6,2.1833333333333336,273.2,True
FACATATIVA,2036,0,0,0,814.4,2.183333333333333,271.46666666666664,True
NEIVA (CT),2014,0,0,0,805.6,2.1666666666666665,268.53333333333336,True
PEREIRA (CT),1994,0,0,0,797.6,2.15,265.8666666666666,True
CHIA,2024,0,0,0,809.6,2.15,269.8666666666667,True
CARTAGENA DE INDIAS,1654,0,0,0,661.6,2.12,264.64,True
FLORIDABLANCA,1878,0,0,0,751.2,2.0166666666666666,250.4,True
GIRARDOT,1846,0,0,0,738.4000000000001,1.9666666666666668,246.13333333333333,True
CUCUTA,1490,0,0,0,596.0,1.9,238.4,True
POPAYAN (CT),1755,0,0,0,702.0,1.8499999999999999,234.0,True
ZIPAQUIRA,1729,0,0,0,691.6,1.8333333333333333,230.53333333333333,True
MADRID,1720,0,0,0,688.0,1.8166666666666667,229.33333333333334,True
GIRON,1694,0,0,0,677.6,1.8,225.86666666666667,True
SANTA MARTA,1398,0,0,0,559.2,1.8,223.68,True
ENVIGADO,1621,0,0,0,648.4000000000001,1.7333333333333334,216.13333333333333,True
GUADALAJARA DE BUGA,1540,0,0,0,616.0,1.6500000000000001,83.74166666666666,True
BUCARAMANGA,1288,0,0,0,515.2,1.64,206.08,True
SINCELEJO (CT),1487,0,0,0,594.8000000000001,1.5666666666666667,198.26666666666665,True
DUITAMA,1407,0,0,0,562.8,1.5166666666666666,187.6,True
VALLEDUPAR,1114,0,0,0,445.6,1.44,178.24,True
NEIVA,1097,0,0,0,438.8,1.42,175.52,True
TUNJA,1093,0,0,0,437.20000000000005,1.3800000000000001,174.88,True
DOSQUEBRADAS,1264,0,0,0,505.6,1.3499999999999999,168.53333333333333,True
TULUA,1254,0,0,0,501.6,1.3333333333333333,37.818333333333335,True
PITALITO,1249,0,0,0,499.6,1.3166666666666667,166.53333333333333,True
YUMBO,1246,0,0,0,498.40000000000003,1.3166666666666667,70.16,True
YOPAL (CT),1210,0,0,0,484.0,1.3,161.33333333333334,True
CAJICA,1184,0,0,0,473.6,1.2666666666666666,157.86666666666667,True
FUNZA,1155,0,0,0,462.0,1.2166666666666666,154.0,True
POPAYAN,949,0,0,0,379.6,1.2,151.84,True
SABANETA,1107,0,0,0,442.80000000000007,1.1833333333333333,147.6,True
PIEDECUESTA,1068,0,0,0,427.20000000000005,1.1500000000000001,142.4,True
CANDELARIA,1069,0,0,0,427.6,1.1500000000000001,68.63,True
APARTADO,1076,0,0,0,430.40000000000003,1.1500000000000001,143.46666666666667,True
YOPAL,904,0,0,0,361.6,1.1400000000000001,144.64000000000001,True
MANIZALES (CT),1061,0,0,0,424.40000000000003,1.1333333333333333,141.46666666666667,True
PASTO,889,0,0,0,355.6,1.1199999999999999,142.24,True
VILLA DE SAN DIEGO DE UBATE,1029,0,0,0,411.6,1.1166666666666667,137.20000000000002,True
BARBOSA,1037,0,0,0,414.8,1.0999999999999999,138.26666666666668,True
CARTAGO,1000,0,0,0,400.0,1.0833333333333333,48.31,True
ACACIAS,1003,0,0,0,401.20000000000005,1.0666666666666667,133.73333333333332,True
MAGANGUE,1014,0,0,0,405.6,1.0666666666666667,135.2,True
ESPINAL,1011,0,0,0,404.40000000000003,1.0666666666666667,134.79999999999998,True
FLORENCIA (CT),998,0,0,0,399.20000000000005,1.05,133.06666666666666,True
COPACABANA,983,0,0,0,393.20000000000005,1.05,131.06666666666666,True
PEREIRA,804,0,0,0,321.6,1.02,128.64000000000001,True
IPIALES,1102,0,1,1,441.1,1.0142857142857142,126.02857142857144,True
GRANADA,934,0,0,0,373.6,0.9833333333333334,124.53333333333335,True
SAN ANDRES DE TUMACO,1041,0,1,1,416.7,0.9571428571428572,119.05714285714285,True
LA MESA,872,0,0,0,348.8,0.9333333333333332,116.26666666666667,True
TOCANCIPA,849,0,0,0,339.6,0.9166666666666666,113.2,True
LA ESTRELLA,867,0,0,0,346.8,0.9166666666666666,115.60000000000001,True
RIONEGRO,862,0,0,0,344.8,0.9166666666666666,114.93333333333334,True
CHAPARRAL,863,0,0,0,345.20000000000005,0.9,115.06666666666666,True
SAN JOSE DEL GUAVIARE (CT),860,0,0,0,344.0,0.9,114.66666666666667,True
SAN ANDRES (CT),830,0,0,0,332.0,0.9,110.66666666666667,True
JAMUNDI,820,0,0,0,328.0,0.8833333333333334,32.64833333333333,True
BUENAVENTURA,824,0,0,0,329.6,0.8666666666666667,12.58,True
SIBATE,794,0,0,0,317.6,0.85,105.86666666666667,True
GUARNE,769,0,0,0,307.6,0.8166666666666668,102.53333333333335,True
RIOHACHA (CT),741,0,0,0,296.4,0.7999999999999999,98.8,True
OCANA,747,0,0,0,298.8,0.7999999999999999,99.60000000000001,True
TURBACO,733,0,0,0,293.2,0.7833333333333333,97.73333333333333,True
MONTERIA (CT),744,0,0,0,297.6,0.7833333333333333,99.2,True
