expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado,tipo_proceso_enc,despacho_enc,duracion_estimada,p75_duracion,riesgo
CAL-00389,CALI,VIF,Juzgado_1_Familia_Cali,2022,70.0,1.45,13,1,720,1,3,3,684,525.5,Medio
CAL-06011,CALI,VIF,Juzgado_1_Familia_Cali,2022,70.0,1.45,13,1,707,1,3,3,684,525.5,Medio
CAL-01378,CALI,VIF,Juzgado_2_Familia_Cali,2022,70.0,1.3,12,1,683,1,3,4,674,506.0,Medio
CAL-05644,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2022,70.0,1.35,13,1,710,1,3,8,674,508.0,Medio
CAL-03031,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,10,1,700,1,0,1,673,622.75,Medio
CAL-06170,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,10,1,696,1,0,1,673,622.75,Medio
CAL-04490,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2021,70.0,1.1,11,1,693,1,0,1,665,622.75,Medio
CAL-08567,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2022,70.0,1.35,12,1,683,1,3,8,664,508.0,Medio
CAL-04563,CALI,VIF,Juzgado_1_Familia_Cali,2021,70.0,1.45,10,1,702,1,3,3,663,525.5,Medio
CAL-09752,CALI,VIF,Juzgado_1_Familia_Cali,2024,70.0,1.45,13,1,713,1,3,3,663,525.5,Medio
CAL-09972,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2022,70.0,1.1,12,1,685,1,0,1,663,622.75,Medio
CAL-09867,CALI,VIF,Juzgado_2_Familia_Cali,2021,70.0,1.3,13,1,666,1,3,4,662,506.0,Medio
CAL-03605,CALI,VIF,Juzgado_2_Familia_Cali,2023,70.0,1.3,12,1,689,1,3,4,661,506.0,Medio
CAL-01266,CALI,VIF,Juzgado_2_Familia_Cali,2024,70.0,1.3,13,1,680,1,3,4,660,506.0,Medio
CAL-07567,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2021,70.0,1.1,11,1,708,1,0,6,659,624.0,Medio
CAL-00071,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,14,1,369,0,3,8,657,508.0,Medio
CAL-00536,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,678,1,0,0,657,656.75,Medio
CAL-02031,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,369,0,0,0,657,656.75,Medio
CAL-02120,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,678,1,0,0,657,656.75,Medio
CAL-02692,CALI,VIF,Comisaria_2_Familia_Cali,2024,70.0,1.1,13,1,669,1,3,1,657,482.0,Medio
CAL-02869,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,668,1,0,0,657,656.75,Medio
CAL-03315,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,712,1,0,0,657,656.75,Medio
CAL-05196,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2023,70.0,1.25,3,1,673,1,0,0,657,656.75,Medio
CAL-05343,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,433,0,0,0,657,656.75,Medio
CAL-05677,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,540,0,0,0,657,656.75,Medio
CAL-06955,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,685,1,0,0,657,656.75,Medio
CAL-07979,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,707,1,0,0,657,656.75,Medio
CAL-08021,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2023,70.0,1.25,3,1,687,1,0,0,657,656.75,Medio
CAL-08147,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,687,1,0,0,657,656.75,Medio
CAL-08885,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2023,70.0,1.25,3,1,696,1,0,0,657,656.75,Medio
CAL-09611,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2023,70.0,1.25,3,1,688,1,0,0,657,656.75,Medio
CAL-09641,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,3,1,646,1,0,0,657,656.75,Medio
CAL-02051,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2021,70.0,1.15,10,1,690,1,0,9,656,633.0,Medio
CAL-03652,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2023,70.0,0.9,11,1,637,1,0,2,656,582.0,Medio
CAL-04475,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,10,1,709,1,0,9,656,633.0,Medio
