expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado
CAL-00001,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2023,70.0,0.9,4,0,436,1
CAL-00002,CALI,VIF,Comisaria_1_Familia_Cali,2020,70.0,1.25,5,0,443,1
CAL-00003,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2022,70.0,1.35,2,0,445,1
CAL-00004,CALI,HURTO_PATRIMONIAL,Juzgado_3_Familia_Cali,2022,70.0,1.2,4,0,571,1
CAL-00005,CALI,ALIMENTOS,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,3,0,570,1
CAL-00006,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2020,70.0,0.9,4,1,591,1
CAL-00007,CALI,VIF,Comisaria_1_Familia_Cali,2020,70.0,1.25,4,0,449,1
CAL-00008,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2023,70.0,1.1,5,0,532,1
CAL-00009,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2020,70.0,1.45,1,1,674,1
CAL-00010,CALI,VIF,Juzgado_3_Familia_Cali,2024,70.0,1.2,4,0,430,1
CAL-00011,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2022,70.0,1.1,9,0,517,1
CAL-00012,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2024,70.0,1.2,11,0,592,1
CAL-00013,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2020,70.0,1.2,1,0,499,1
CAL-00014,CALI,VIF,Juzgado_4_Familia_Cali,2024,70.0,1.1,12,0,503,1
CAL-00015,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,10,1,388,0
CAL-00016,CALI,VIF,Juzgado_4_Familia_Cali,2022,70.0,1.1,2,0,386,1
CAL-00017,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,5,1,571,1
CAL-00018,CALI,SUSTANCIAS,Comisaria_2_Familia_Cali,2023,70.0,1.1,2,0,403,1
CAL-00019,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2022,70.0,0.95,11,0,532,1
CAL-00020,CALI,VIF,Comisaria_2_Familia_Cali,2024,70.0,1.1,7,0,433,1
CAL-00021,CALI,VIF,Juzgado_1_Familia_Cali,2021,70.0,1.45,14,0,565,1
CAL-00022,CALI,VIF,Juzgado_3_Familia_Cali,2022,70.0,1.2,6,0,413,1
CAL-00023,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,9,0,556,1
CAL-00024,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2024,70.0,0.95,1,0,453,1
CAL-00025,CALI,HURTO_PATRIMONIAL,Comisaria_3_Familia_Cali,2024,70.0,0.9,7,0,533,1
CAL-00026,CALI,SUSTANCIAS,Juzgado_2_Familia_Cali,2021,70.0,1.3,13,0,560,1
CAL-00027,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2021,70.0,0.95,10,1,641,1
CAL-00028,CALI,VIF,Comisaria_1_Familia_Cali,2022,70.0,1.25,8,0,473,1
CAL-00029,CALI,VIF,Juzgado_1_Familia_Cali,2021,70.0,1.45,2,0,470,1
CAL-00030,CALI,SUSTANCIAS,Juzgado_5_Familia_Cali,2024,70.0,0.95,7,0,235,0
CAL-00031,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2022,70.0,1.45,5,0,565,1
CAL-00032,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2022,70.0,1.25,2,0,490,1
CAL-00033,CALI,VIF,Comisaria_2_Familia_Cali,2022,70.0,1.1,6,0,437,1
CAL-00034,CALI,VIF,Juzgado_4_Familia_Cali,2023,70.0,1.1,8,0,461,1
CAL-00035,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2023,70.0,1.1,2,0,466,1
CAL-00036,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,2,0,485,1
CAL-00037,CALI,VIF,Juzgado_4_Familia_Cali,2024,70.0,1.1,3,1,547,1
CAL-00038,CALI,SUSTANCIAS,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,2,1,514,0
CAL-00039,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,1,1,623,0
CAL-00040,CALI,VIF,Comisaria_2_Familia_Cali,2023,70.0,1.1,12,0,481,1
CAL-00041,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2020,70.0,0.95,7,0,480,1
CAL-00042,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2023,70.0,1.25,4,0,523,1
CAL-00043,CALI,VIF,Juzgado_4_Familia_Cali,2023,70.0,1.1,5,0,438,1
CAL-00044,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2024,70.0,1.2,9,1,415,0
CAL-00045,CALI,ALIMENTOS,Juzgado_2_Familia_Cali,2020,70.0,1.3,1,0,526,1
CAL-00046,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2022,70.0,1.2,6,0,520,1
CAL-00047,CALI,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1_Cali,2023,70.0,1.35,12,0,640,1
CAL-00048,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,1,0,424,1
CAL-00049,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2023,70.0,1.45,3,0,496,0
CAL-00050,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2024,70.0,1.1,4,1,488,0
CAL-00051,CALI,VIF,Juzgado_5_Familia_Cali,2024,70.0,0.95,7,0,293,0
CAL-00052,CALI,VIF,Comisaria_2_Familia_Cali,2023,70.0,1.1,8,0,459,1
CAL-00053,CALI,ALIMENTOS,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,3,0,557,1
CAL-00054,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2021,70.0,1.1,5,0,509,1
CAL-00055,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2022,70.0,1.1,3,1,317,0
CAL-00056,CALI,VIF,Juzgado_1_Familia_Cali,2023,70.0,1.45,3,1,608,1
CAL-00057,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,4,1,582,1
CAL-00058,CALI,SUSTANCIAS,Juzgado_2_Familia_Cali,2021,70.0,1.3,2,0,438,1
CAL-00059,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,4,0,443,1
CAL-00060,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2021,70.0,1.15,2,0,216,0
CAL-00061,CALI,VIF,Juzgado_3_Familia_Cali,2024,70.0,1.2,1,0,202,0
CAL-00062,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2023,70.0,1.45,3,0,279,0
CAL-00063,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2020,70.0,0.95,5,0,456,1
CAL-00064,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2024,70.0,0.95,1,1,609,1
CAL-00065,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2023,70.0,1.45,1,0,580,1
CAL-00066,CALI,HURTO_PATRIMONIAL,Juzgado_2_Familia_Cali,2024,70.0,1.3,15,0,375,0
CAL-00067,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2023,70.0,0.95,2,1,603,1
CAL-00068,CALI,VIF,Juzgado_3_Familia_Cali,2024,70.0,1.2,5,0,416,1
CAL-00069,CALI,HURTO_PATRIMONIAL,Juzgado_5_Familia_Cali,2024,70.0,0.95,9,1,496,0
CAL-00070,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2023,70.0,1.2,17,0,615,1
CAL-00071,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,14,1,369,0
CAL-00072,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2020,70.0,1.25,4,1,655,1
CAL-00073,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2020,70.0,1.35,14,1,693,1
CAL-00074,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,2,1,644,1
CAL-00075,CALI,VIF,Comisaria_2_Familia_Cali,2023,70.0,1.1,3,1,563,1
CAL-00076,CALI,HURTO_PATRIMONIAL,Juzgado_2_Familia_Cali,2022,70.0,1.3,1,0,335,0
CAL-00077,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,2,1,620,1
CAL-00078,CALI,VIF,Juzgado_4_Familia_Cali,2023,70.0,1.1,11,1,641,1
CAL-00079,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2023,70.0,1.15,4,0,259,0
CAL-00080,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2024,70.0,1.1,5,1,677,1
CAL-00081,CALI,VIF,Comisaria_1_Familia_Cali,2023,70.0,1.25,5,0,464,1
CAL-00082,CALI,ALIMENTOS,Comisaria_1_Familia_Cali,2024,70.0,1.25,7,0,547,1
CAL-00083,CALI,ALIMENTOS,Juzgado_4_Familia_Cali,2022,70.0,1.1,1,0,485,1
CAL-00084,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2024,70.0,0.9,8,0,459,1
CAL-00085,CALI,VIF,Juzgado_1_Familia_Cali,2024,70.0,1.45,3,0,499,1
CAL-00086,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2024,70.0,1.45,9,0,637,1
CAL-00087,CALI,ALIMENTOS,Juzgado_5_Familia_Cali,2021,70.0,0.95,7,1,603,1
CAL-00088,CALI,VIF,Comisaria_3_Familia_Cali,2022,70.0,0.9,2,0,324,1
CAL-00089,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2022,70.0,1.45,2,0,563,1
CAL-00090,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2022,70.0,1.2,5,0,516,1
CAL-00091,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia_Cali,2024,70.0,1.25,8,1,600,0
CAL-00092,CALI,VIF,Juzgado_Penal_Municipal_2_Cali,2022,70.0,1.15,10,0,469,1
CAL-00093,CALI,VIF,Juzgado_3_Familia_Cali,2023,70.0,1.2,1,1,567,1
CAL-00094,CALI,VIF,Comisaria_3_Familia_Cali,2022,70.0,0.9,7,1,299,0
CAL-00095,CALI,VIF,Juzgado_4_Familia_Cali,2024,70.0,1.1,9,1,311,0
CAL-00096,CALI,HURTO_PATRIMONIAL,Comisaria_2_Familia_Cali,2021,70.0,1.1,3,0,508,1
CAL-00097,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2023,70.0,1.2,3,0,300,0
CAL-00098,CALI,ALIMENTOS,Juzgado_Penal_Municipal_1_Cali,2024,70.0,1.35,4,0,577,1
CAL-00099,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2021,70.0,1.2,1,1,644,1
CAL-00100,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2020,70.0,1.15,2,1,640,1
CAL-00101,CALI,ALIMENTOS,Comisaria_3_Familia_Cali,2023,70.0,0.9,2,1,580,1
CAL-00102,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2020,70.0,1.45,18,0,677,1
CAL-00103,CALI,VIF,Juzgado_1_Familia_Cali,2022,70.0,1.45,1,0,454,1
CAL-00104,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,10,0,566,1
CAL-00105,CALI,VIF,Juzgado_Penal_Municipal_1_Cali,2021,70.0,1.35,7,1,621,1
CAL-00106,CALI,ALIMENTOS,Juzgado_1_Familia_Cali,2023,70.0,1.45,8,0,631,1
CAL-00107,CALI,SUSTANCIAS,Juzgado_4_Familia_Cali,2023,70.0,1.1,2,1,301,0
CAL-00108,CALI,ALIMENTOS,Juzgado_3_Familia_Cali,2023,70.0,1.2,8,1,706,1
CAL-00109,CALI,ALIMENTOS,Comisaria_2_Familia_Cali,2020,70.0,1.1,3,1,645,1
CAL-00110,CALI,ALIMENTOS,Juzgado_Penal_Municipal_2_Cali,2024,70.0,1.15,8,0,308,0
