municipio,anio,vif_total,hurto_total,alimentos_familia_total,medidas_proteccion_total,ivf_score_bruto,ivf_score_ponderado,poblacion,ivf_tasa_100k
ALCALA,2020,0.0,9,0.0,0,0.9,0.0,17200,5.23
ALCALA,2021,0.0,25,0.0,0,2.5,0.1,17200,14.53
ALCALA,2022,0.0,27,0.0,0,2.7,0.1,17200,15.7
ALCALA,2023,0.0,21,0.0,0,2.1,0.1,17200,12.21
ALCALA,2024,0.0,28,0.0,0,2.8000000000000003,0.1,17200,16.28
ALCALA,2025,0.0,21,0.0,0,2.1,0.1,17200,12.21
ANDALUCIA,2020,0.0,23,0.0,0,2.3000000000000003,0.1,19800,11.62
ANDALUCIA,2021,0.0,29,0.0,0,2.9000000000000004,0.1,19800,14.65
ANDALUCIA,2022,0.0,26,0.0,0,2.6,0.1,19800,13.13
ANDALUCIA,2023,0.0,29,0.0,0,2.9000000000000004,0.1,19800,14.65
ANDALUCIA,2024,0.0,16,0.0,0,1.6,0.1,19800,8.08
ANDALUCIA,2025,0.0,34,0.0,0,3.4000000000000004,0.1,19800,17.17
ANSERMANUEVO,2020,0.0,6,0.0,0,0.6000000000000001,0.0,16300,3.68
ANSERMANUEVO,2021,0.0,16,0.0,0,1.6,0.1,16300,9.82
ANSERMANUEVO,2022,0.0,21,0.0,0,2.1,0.1,16300,12.88
ANSERMANUEVO,2023,0.0,22,0.0,0,2.2,0.1,16300,13.5
ANSERMANUEVO,2024,0.0,14,0.0,0,1.4000000000000001,0.1,16300,8.59
ANSERMANUEVO,2025,0.0,14,0.0,0,1.4000000000000001,0.1,16300,8.59
ARGELIA,2020,0.0,1,0.0,0,0.1,0.0,10400,0.96
ARGELIA,2021,0.0,2,0.0,0,0.2,0.0,10400,1.92
ARGELIA,2022,0.0,1,0.0,0,0.1,0.0,10400,0.96
ARGELIA,2023,0.0,2,0.0,0,0.2,0.0,10400,1.92
ARGELIA,2024,0.0,1,0.0,0,0.1,0.0,10400,0.96
ARGELIA,2025,0.0,3,0.0,0,0.30000000000000004,0.0,10400,2.88
BOLIVAR,2020,0.0,5,0.0,0,0.5,0.0,22100,2.26
BOLIVAR,2021,0.0,6,0.0,0,0.6000000000000001,0.0,22100,2.71
BOLIVAR,2022,0.0,14,0.0,0,1.4000000000000001,0.1,22100,6.33
BOLIVAR,2023,0.0,4,0.0,0,0.4,0.0,22100,1.81
BOLIVAR,2024,0.0,5,0.0,0,0.5,0.0,22100,2.26
BOLIVAR,2025,0.0,7,0.0,0,0.7000000000000001,0.0,22100,3.17
BUENAVENTURA,2020,0.0,559,0.0,0,55.900000000000006,2.3,436665,12.8
BUENAVENTURA,2021,0.0,790,0.0,0,79.0,3.2,436665,18.09
BUENAVENTURA,2022,0.0,786,0.0,0,78.60000000000001,3.2,436665,18.0
BUENAVENTURA,2023,0.0,779,0.0,0,77.9,3.2,436665,17.84
BUENAVENTURA,2024,0.0,570,0.0,0,57.0,2.3,436665,13.05
