c_digo_dane_departamento,nombre,c_digo_dane_municipio,nombre_1,tipo_municipio_isla_rea_no,categoria_municipio,comisarias_ley_2126_100_000,existencia_de_comisarias,nombre_comisaria,direcci_n_comisara,telefono_de_contacto,horario_de_atenci_n,longitud_de_ubicaci_n_de,latitud_de_ubicaci_n_de_la,coordenadas_de_ubicaci_n,fuente,url_dataset,tipo_ciclo,lat,lon,municipio_norm,departamento_norm
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia Móvil,Null,321 5813764,"Atención de lunes a viernes de 7:00 a.m. a 4:00 p.m., jornada continua.",Null,Null,Null,Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,,,PALMIRA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia de Rozo,Calle 10 # 11 – 05,321 5813764,"Atención los lunes, miércoles y viernes, de 7:30 a.m. a 12:30 p.m. y de 1:30 p.m. a 4:30 p.m.",3614674,"-76,387,812","3°36'52.8""N 76°23'16.1""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.614667,-76.387806,PALMIRA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia ubicada en la Casa de Justicia,"Calle 57 # 44 – 02, barrio Caimitos",2859694 – 318 8276379,"Atención de lunes a viernes, de 7:00 a.m. a 4:00 p.m., jornada continua.",3548598,"-76,315,400","3°32'55.0""N 76°18'55.4""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.548611,-76.315389,PALMIRA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia del Centro de Atención Integral (CeAI),"Carrera 28 # 27 – 68, edificio de la Fiscalía General de la Nación, seccional Palmira, tercer piso.",317 4976717,atención de lunes a viernes de 7:30 a.m. a 12:30 p.m. y de 1:30 p.m. a 5:00 p.m.,"3,525,076.00","-76,299,242","3°31'30.3""N 76°17'57.3""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.525083,-76.29925,PALMIRA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76520,PALMIRA,Municipio,1,4,3,Comisaría de Familia Central,"Calle 23 # 28A – 15, barrio Nuevo.",2859732 – 2859736 – 317 5100201.,24 horas del día,3520759,"-76,295,233","3°31'14.7""N 76°17'42.8""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.52075,-76.295222,PALMIRA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76892,YUMBO,Municipio,1,2,2,Comisaría de Familia de Yumbo,Calle 1A No. 3-29 barrio Belalcázar de Yumbo (Valle),6570634- Celular 3505377406,L-V 8-5,3584837,"-76,498,724","3°35'05.4""N 76°29'55.4""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.584833,-76.498722,YUMBO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76892,YUMBO,Municipio,1,2,2,"cOMISARIA 1, 2, 3 Y 4",Carrera 33 # 26 A - 12,+57 (60+8) 6345913 Extensión 1021 - 1022 - 1023,L-V 8-5,5340192,"-72,381,773","5°20'24.7""N 72°22'54.4""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,,,YUMBO,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76109,BUENAVENTURA,Municipio,2,4,1,Comisaría de Familia de Buenaventura,Carrera 73B Calle 3ª Esquina.,"DENUNCIA: Recepción a las denuncias vía
telefónica o whatsapp al cel. 316 249 2622
JURÍDICA: Recepción a los casos vía
telefónica o whatsapp al cel. 317 682 0627
PSICOSOCIAL: Recepción a la orientación
psicológica vía telefónica o whatsapp al
cel. 316 249 2622",L-V 8-5,Null,Null,Null,Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,,,BUENAVENTURA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,Municipio,2,2,0,Comisaría de Familia de Guadalara de Buga,Calle 24 # 13-04,"Tels. 236 6781 - 236 6784 - 228 2000
Cel. 311 340 1230
Correo electrónico:
sgobierno@guadalajaradebuga-valle.gov.co",L-V 8-5,"3,913,439","-76,295,345","3°54'48.4""N 76°17'43.2""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.913444,-76.295333,GUADALAJARA DE BUGA,VALLE DEL CAUCA
76,VALLE DEL CAUCA,76130,CANDELARIA,Municipio,2,1,0,comisaria de familia de buga 1,"carrera 8 # 8-45, barrio San Cristóbal - Candelaria",(602) 264 6830,L-V 8-5,3408529,"-76,347,839","3°24'30.7""N 76°20'52.2""W",Ministerio de Justicia — Directorio Comisarías Ley 2126,https://www.datos.gov.co/resource/7tuu-upb2.json,COMISARIA_GEO,3.408528,-76.347833,CANDELARIA,VALLE DEL CAUCA
