municipio,vif_total,alimentos_familia_total,medidas_proteccion_total,hurto_total,ivf_score_bruto,ivf_score_ponderado,ivf_tasa_100k,alerta
CALI,0.0,0.0,0,120196,12019.6,82.01666666666667,89.55333333333334,True
PALMIRA,0.0,0.0,0,10942,1094.2,7.466666666666668,58.626666666666665,True
BUENAVENTURA,0.0,0.0,0,4059,405.90000000000003,2.766666666666667,15.491666666666667,True
JAMUNDI,0.0,0.0,0,3573,357.3,2.4499999999999997,35.565,True
TULUA,0.0,0.0,0,3565,356.5,2.4499999999999997,26.88,True
YUMBO,0.0,0.0,0,3332,333.20000000000005,2.25,46.905,True
GUADALAJARA DE BUGA,0.0,0.0,0,2470,247.0,1.6833333333333333,33.57666666666666,True
CANDELARIA,0.0,0.0,0,2095,209.5,1.4166666666666667,33.625,True
CARTAGO,0.0,0.0,0,1852,185.2,1.25,22.366666666666664,True
FLORIDA,0.0,0.0,0,983,98.30000000000001,0.6833333333333332,25.816666666666666,True
EL CERRITO,0.0,0.0,0,924,92.4,0.6166666666666667,26.900000000000002,True
PRADERA,0.0,0.0,0,664,66.4,0.45,20.388333333333332,False
SEVILLA,0.0,0.0,0,434,43.400000000000006,0.3,16.356666666666666,False
ZARZAL,0.0,0.0,0,377,37.7,0.26666666666666666,14.246666666666668,False
GUACARI,0.0,0.0,0,362,36.2,0.2333333333333333,19.203333333333333,False
DAGUA,0.0,0.0,0,308,30.800000000000004,0.20000000000000004,14.336666666666666,False
CALIMA,0.0,0.0,0,289,28.900000000000002,0.20000000000000004,21.793333333333333,False
CAICEDONIA,0.0,0.0,0,274,27.400000000000002,0.16666666666666666,15.801666666666668,False
BUGALAGRANDE,0.0,0.0,0,220,22.0,0.16666666666666666,16.666666666666668,False
GINEBRA,0.0,0.0,0,219,21.900000000000002,0.15,17.548333333333336,False
ROLDANILLO,0.0,0.0,0,179,17.900000000000002,0.13333333333333333,7.851666666666667,False
LA UNION,0.0,0.0,0,180,18.0,0.11666666666666668,8.333333333333334,False
YOTOCO,0.0,0.0,0,162,16.200000000000003,0.11666666666666668,15.083333333333334,False
ANDALUCIA,0.0,0.0,0,157,15.700000000000001,0.10000000000000002,13.216666666666669,False
SAN PEDRO,0.0,0.0,0,149,14.9,0.10000000000000002,15.051666666666668,False
ALCALA,0.0,0.0,0,131,13.100000000000001,0.08333333333333333,12.693333333333333,False
ANSERMANUEVO,0.0,0.0,0,93,9.3,0.08333333333333333,9.51,False
LA CUMBRE,0.0,0.0,0,96,9.600000000000001,0.08333333333333333,12.213333333333333,False
RIOFRIO,0.0,0.0,0,88,8.8,0.06666666666666667,8.428333333333333,False
VIJES,0.0,0.0,0,87,8.700000000000001,0.06666666666666667,9.861666666666666,False
TRUJILLO,0.0,0.0,0,56,5.6000000000000005,0.03333333333333333,5.428333333333334,False
RESTREPO,0.0,0.0,0,85,8.5,0.03333333333333333,8.853333333333333,False
OBANDO,0.0,0.0,0,59,5.9,0.03333333333333333,7.178333333333334,False
BOLIVAR,0.0,0.0,0,41,4.1000000000000005,0.016666666666666666,3.09,False
ARGELIA,0.0,0.0,0,10,1.0,0.0,1.5999999999999999,False
EL AGUILA,0.0,0.0,0,14,1.4,0.0,3.0119999999999996,False
EL CAIRO,0.0,0.0,0,8,0.8,0.0,1.818,False
EL DOVIO,0.0,0.0,0,14,1.4000000000000001,0.0,2.565,False
LA VICTORIA,0.0,0.0,0,46,4.6000000000000005,0.0,5.478333333333333,False
TORO,0.0,0.0,0,27,2.7,0.0,2.515,False
VERSALLES,0.0,0.0,0,18,1.8000000000000003,0.0,5.175000000000001,False
ULLOA,0.0,0.0,0,18,1.8000000000000003,0.0,5.292,False
